15	10	E	-9710645.990288706	106
emissionprobs	6	2	H3k04me2	1	9.399191484599863E-4
emissionprobs	6	3	H3k04me3	0	0.9999571698827512
emissionprobs	6	3	H3k04me3	1	4.283011724883843E-5
emissionprobs	6	4	H3k09ac	0	0.9994176870259823
emissionprobs	6	4	H3k09ac	1	5.823129740177114E-4
emissionprobs	6	5	H3k09me3	0	0.9912225250976002
emissionprobs	6	5	H3k09me3	1	0.008777474902399794
emissionprobs	6	6	H3k27ac	0	0.9989233554733473
emissionprobs	6	6	H3k27ac	1	0.0010766445266526263
emissionprobs	6	7	H3k27me3	0	0.9999275015415157
emissionprobs	6	7	H3k27me3	1	7.249845848440395E-5
emissionprobs	6	8	H3k36me3	0	0.791384461645815
emissionprobs	6	8	H3k36me3	1	0.208615538354185
emissionprobs	6	9	H3k79me2	0	0.33286212867869686
emissionprobs	6	9	H3k79me2	1	0.6671378713213032
emissionprobs	7	0	H2az	0	0.9989930131908203
emissionprobs	7	0	H2az	1	0.0010069868091797008
emissionprobs	7	1	H3k04me1	0	0.15529853247708353
emissionprobs	7	1	H3k04me1	1	0.8447014675229164
emissionprobs	7	2	H3k04me2	0	0.7036360413366713
emissionprobs	7	2	H3k04me2	1	0.2963639586633286
emissionprobs	7	3	H3k04me3	0	0.962389035770577
emissionprobs	7	3	H3k04me3	1	0.03761096422942308
emissionprobs	7	4	H3k09ac	0	0.888662014986868
emissionprobs	7	4	H3k09ac	1	0.11133798501313197
emissionprobs	7	5	H3k09me3	0	0.9884354737922761
emissionprobs	7	5	H3k09me3	1	0.011564526207723828
emissionprobs	7	6	H3k27ac	0	0.9017826185316231
emissionprobs	7	6	H3k27ac	1	0.09821738146837702
emissionprobs	7	7	H3k27me3	0	0.9998815764416966
emissionprobs	7	7	H3k27me3	1	1.184235583034639E-4
emissionprobs	7	8	H3k36me3	0	0.7222806740403862
emissionprobs	7	8	H3k36me3	1	0.2777193259596139
emissionprobs	7	9	H3k79me2	0	0.1339566875296484
emissionprobs	7	9	H3k79me2	1	0.8660433124703517
emissionprobs	8	0	H2az	0	0.9892242623072997
emissionprobs	8	0	H2az	1	0.010775737692700333
emissionprobs	8	1	H3k04me1	0	0.5372698043353781
emissionprobs	8	1	H3k04me1	1	0.462730195664622
emissionprobs	8	2	H3k04me2	0	0.9789973844305732
emissionprobs	8	2	H3k04me2	1	0.021002615569426893
